id,Predicción
159256,Fumador
159257,No Fumador
159258,Fumador
159259,No Fumador
159260,No Fumador
159261,Fumador
159262,No Fumador
159263,No Fumador
159264,No Fumador
159265,No Fumador
159266,No Fumador
159267,No Fumador
159268,No Fumador
159269,No Fumador
159270,No Fumador
159271,Fumador
159272,Fumador
159273,Fumador
159274,No Fumador
159275,No Fumador
159276,No Fumador
159277,Fumador
159278,No Fumador
159279,Fumador
159280,No Fumador
159281,Fumador
159282,Fumador
159283,Fumador
159284,Fumador
159285,No Fumador
159286,Fumador
159287,No Fumador
159288,No Fumador
159289,Fumador
159290,No Fumador
159291,Fumador
159292,No Fumador
159293,No Fumador
159294,No Fumador
159295,No Fumador
159296,Fumador
159297,No Fumador
159298,No Fumador
159299,No Fumador
159300,No Fumador
159301,No Fumador
159302,No Fumador
159303,No Fumador
159304,No Fumador
159305,Fumador
159306,Fumador
159307,No Fumador
159308,No Fumador
159309,No Fumador
159310,No Fumador
159311,Fumador
159312,No Fumador
159313,No Fumador
159314,Fumador
159315,Fumador
159316,No Fumador
159317,No Fumador
159318,No Fumador
159319,No Fumador
159320,Fumador
159321,No Fumador
159322,Fumador
159323,Fumador
159324,No Fumador
159325,No Fumador
159326,Fumador
159327,Fumador
159328,No Fumador
159329,No Fumador
159330,No Fumador
159331,No Fumador
159332,No Fumador
159333,No Fumador
159334,No Fumador
159335,No Fumador
159336,No Fumador
159337,No Fumador
159338,No Fumador
159339,Fumador
159340,Fumador
159341,Fumador
159342,Fumador
159343,No Fumador
159344,No Fumador
159345,No Fumador
159346,Fumador
159347,Fumador
159348,Fumador
159349,No Fumador
159350,No Fumador
159351,Fumador
159352,No Fumador
159353,No Fumador
159354,No Fumador
159355,No Fumador
159356,Fumador
159357,Fumador
159358,No Fumador
159359,Fumador
159360,No Fumador
159361,Fumador
159362,No Fumador
159363,Fumador
159364,Fumador
159365,Fumador
159366,No Fumador
159367,No Fumador
159368,No Fumador
159369,Fumador
159370,No Fumador
159371,No Fumador
159372,No Fumador
159373,Fumador
159374,No Fumador
159375,Fumador
159376,Fumador
159377,No Fumador
159378,Fumador
159379,No Fumador
159380,No Fumador
159381,No Fumador
159382,Fumador
159383,No Fumador
159384,No Fumador
159385,No Fumador
159386,No Fumador
159387,Fumador
159388,Fumador
159389,No Fumador
159390,Fumador
159391,No Fumador
159392,Fumador
159393,No Fumador
159394,No Fumador
159395,Fumador
159396,Fumador
159397,Fumador
159398,Fumador
159399,Fumador
159400,Fumador
159401,Fumador
159402,No Fumador
159403,No Fumador
159404,Fumador
159405,No Fumador
159406,No Fumador
159407,No Fumador
159408,No Fumador
159409,Fumador
159410,No Fumador
159411,Fumador
159412,Fumador
159413,Fumador
159414,No Fumador
159415,No Fumador
159416,Fumador
159417,No Fumador
159418,Fumador
159419,No Fumador
159420,Fumador
159421,Fumador
159422,No Fumador
159423,No Fumador
159424,No Fumador
159425,Fumador
159426,No Fumador
159427,No Fumador
159428,No Fumador
159429,No Fumador
159430,No Fumador
159431,Fumador
159432,No Fumador
159433,No Fumador
159434,No Fumador
159435,No Fumador
159436,Fumador
159437,No Fumador
159438,Fumador
159439,No Fumador
159440,No Fumador
159441,Fumador
159442,No Fumador
159443,No Fumador
159444,No Fumador
159445,No Fumador
159446,Fumador
159447,No Fumador
159448,Fumador
159449,Fumador
159450,No Fumador
159451,Fumador
159452,Fumador
159453,No Fumador
159454,No Fumador
159455,No Fumador
159456,No Fumador
159457,Fumador
159458,Fumador
159459,No Fumador
159460,No Fumador
159461,Fumador
159462,No Fumador
159463,No Fumador
159464,No Fumador
159465,No Fumador
159466,No Fumador
159467,Fumador
159468,Fumador
159469,No Fumador
159470,Fumador
159471,Fumador
159472,Fumador
159473,No Fumador
159474,No Fumador
159475,No Fumador
159476,No Fumador
159477,No Fumador
159478,Fumador
159479,No Fumador
159480,No Fumador
159481,No Fumador
159482,Fumador
159483,No Fumador
159484,No Fumador
159485,No Fumador
159486,No Fumador
159487,No Fumador
159488,No Fumador
159489,No Fumador
159490,No Fumador
159491,Fumador
159492,No Fumador
159493,Fumador
159494,No Fumador
159495,No Fumador
159496,Fumador
159497,No Fumador
159498,No Fumador
159499,No Fumador
159500,No Fumador
159501,Fumador
159502,Fumador
159503,No Fumador
159504,No Fumador
159505,No Fumador
159506,Fumador
159507,Fumador
159508,Fumador
159509,Fumador
159510,No Fumador
159511,No Fumador
159512,No Fumador
159513,No Fumador
159514,No Fumador
159515,Fumador
159516,No Fumador
159517,No Fumador
159518,No Fumador
159519,No Fumador
159520,No Fumador
159521,Fumador
159522,Fumador
159523,No Fumador
159524,Fumador
159525,No Fumador
159526,No Fumador
159527,No Fumador
159528,No Fumador
159529,Fumador
159530,Fumador
159531,No Fumador
159532,Fumador
159533,Fumador
159534,No Fumador
159535,No Fumador
159536,No Fumador
159537,No Fumador
159538,Fumador
159539,Fumador
159540,No Fumador
159541,No Fumador
159542,No Fumador
159543,No Fumador
159544,Fumador
159545,No Fumador
159546,Fumador
159547,No Fumador
159548,Fumador
159549,No Fumador
159550,No Fumador
159551,Fumador
159552,Fumador
159553,No Fumador
159554,No Fumador
159555,Fumador
159556,Fumador
159557,Fumador
159558,No Fumador
159559,Fumador
159560,No Fumador
159561,Fumador
159562,Fumador
159563,No Fumador
159564,No Fumador
159565,No Fumador
159566,No Fumador
159567,Fumador
159568,Fumador
159569,No Fumador
159570,Fumador
159571,No Fumador
159572,No Fumador
159573,No Fumador
159574,Fumador
159575,No Fumador
159576,No Fumador
159577,Fumador
159578,Fumador
159579,No Fumador
159580,Fumador
159581,No Fumador
159582,No Fumador
159583,Fumador
159584,No Fumador
159585,No Fumador
159586,No Fumador
159587,Fumador
159588,Fumador
159589,Fumador
159590,Fumador
159591,Fumador
159592,No Fumador
159593,No Fumador
159594,No Fumador
159595,Fumador
159596,Fumador
159597,No Fumador
159598,No Fumador
159599,No Fumador
159600,No Fumador
159601,Fumador
159602,No Fumador
159603,Fumador
159604,No Fumador
159605,No Fumador
159606,No Fumador
159607,No Fumador
159608,Fumador
159609,No Fumador
159610,No Fumador
159611,No Fumador
159612,No Fumador
159613,Fumador
159614,No Fumador
159615,No Fumador
159616,No Fumador
159617,No Fumador
159618,Fumador
159619,No Fumador
159620,No Fumador
159621,Fumador
159622,Fumador
159623,Fumador
159624,No Fumador
159625,No Fumador
159626,No Fumador
159627,No Fumador
159628,No Fumador
159629,Fumador
159630,No Fumador
159631,No Fumador
159632,No Fumador
159633,No Fumador
159634,Fumador
159635,No Fumador
159636,No Fumador
159637,No Fumador
159638,Fumador
159639,No Fumador
159640,No Fumador
159641,No Fumador
159642,No Fumador
159643,No Fumador
159644,No Fumador
159645,No Fumador
159646,No Fumador
159647,No Fumador
159648,No Fumador
159649,No Fumador
159650,Fumador
159651,Fumador
159652,Fumador
159653,No Fumador
159654,No Fumador
159655,Fumador
159656,No Fumador
159657,Fumador
159658,No Fumador
159659,No Fumador
159660,No Fumador
159661,No Fumador
159662,No Fumador
159663,Fumador
159664,No Fumador
159665,No Fumador
159666,Fumador
159667,No Fumador
159668,Fumador
159669,No Fumador
159670,No Fumador
159671,Fumador
159672,No Fumador
159673,Fumador
159674,Fumador
159675,Fumador
159676,No Fumador
159677,No Fumador
159678,No Fumador
159679,No Fumador
159680,Fumador
159681,No Fumador
159682,Fumador
159683,No Fumador
159684,No Fumador
159685,No Fumador
159686,No Fumador
159687,No Fumador
159688,Fumador
159689,No Fumador
159690,Fumador
159691,Fumador
159692,Fumador
